Title,Address,Link
'Ksan Historical Village & Museum,"1500 HIGHWAY 62HAZELTON, British Columbia V0J 1Y0 Canada",http://www.hazeltonstourism.ca/ksan-historical-village-and-museum.html
'School Days' Museum,"427 QUEEN STREETFREDERICTON, New Brunswick E3B 5R6 Canada",https://museum.nbta.ca/
1000 Islands History Museum,"125 WATER STREETGANANOQUE, Ontario K7G 3E3 Canada",https://www.1000islandsheritagemuseum.com/
12 Service Battalion Museum,"THE SHERMAN ARMOURY, 5500 NO. 4 RDRICHMOND, British Columbia V6X 3L5 Canada",https://www.tracesofwar.com/sights/11321/12th-Service-Battalion-Museum.htm
"15th Field Artillery Regiment, RCA Museum and Archives","BESSBOROUGH ARMOURY, 2025 WEST 11TH AVENUEVANCOUVER, British Columbia V6J 2C7 Canada",https://www.memorybc.ca/museum-of-15th-field-artillery-regiment
17 Wing Heritage Collection,"AIR HERITAGE PARK, AIR FORCE WAYWINNIPEG, Manitoba R3J 3Y5 Canada",https://rcaf-arc.forces.gc.ca/en/17-wing/index.page
1810 Carter House,"874 ROUTE 845KINGSTON, New Brunswick E5N 1R7 Canada",https://www.kingstonnb.ca/the-1810-carter-house
26th Field Regiment RCA/XII Manitoba Dragoons Museum,"1116 VICTORIA AVENUEBRANDON, Manitoba R7A 1B2 Canada",http://www.26fdregmuseum.ca/
31 Service Battalion Museum,"650 CATHERINE STREET NORTHHAMILTON, Ontario L8L 4V7 Canada",https://www.facebook.com/31SvcBnMuseum/ OR https://www.instagram.com/31svcbnmuseum/
42nd Field Regiment (Lanark & Renfrew Scottish) RCA Regimental Museum,"177 VICTORIA STREETPEMBROKE, Ontario K8A 4K2 Canada",http://www.renfrewcountymuseums.org/museums/42nd-field-regimental-museum/
48th Highlanders Museum,"ST. ANDREW'S CHURCH, 75 SIMCOE STREETTORONTO, Ontario M5J 1W9 Canada",http://www.48highlanders.com/04_03.html
50 Centuries Cultures Society Inc.,"84-92 MICHAEL'S DRIVEBIRD COVE, Newfoundland & Labrador A0K 1L0 Canada",http://50centuries.ca/
8th Hussars Museum,"66 BROAD STREETSUSSEX, New Brunswick E4E 5S2 Canada",http://www.8chassociation.com/museum.html
A Space Gallery,"110 - 401 RICHMOND STREET WESTTORONTO, Ontario M5V 3A8 Canada",http://www.aspacegallery.org/
Aanischaaukamikw Cree Cultural Institute,"205, RUE OPEMISKA MESKINOOUJE-BOUGOUMOU, Quebec G0W 3C0 Canada",https://www.escapelikeneverbefore.com/en/members/aanischaaukamikw-cree-cultural-institute/85/aboriginal-experience/
Abernethy Nature-Heritage Museum,"133 MAIN STREETABERNETHY, Saskatchewan S0A 0A0 Canada",https://saskmuseums.org/museums/detail/abernethy-nature-heritage-museum
